,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
850,00-0039236,J.Wilson,Johnny Wilson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cj13ngp4tjmi9621trrk",PHI,2024,2,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,9.0,0.0,0.0,-1.5467957,0,0.0,0.03448276,0.050847456,0.087317355,0.0,0.0,0.0
851,00-0039236,J.Wilson,Johnny Wilson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cj13ngp4tjmi9621trrk",PHI,2024,3,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,9.0,0,0.0,0.0,22.0,6.0,1.0,1.3689139,0,0.4090909,0.055555556,0.08494209,0.14279279,0.0,0.9,1.9
852,00-0039325,C.Steele,Carson Steele,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lhkvntmjrt4fbsxi3hrt",KC,2024,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,3.0,0,0.0,0.0,0.0,-1.0429523,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.3,0.3
853,00-0039325,C.Steele,Carson Steele,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lhkvntmjrt4fbsxi3hrt",KC,2024,2,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,7,24.0,0,1.0,1.0,4.0,2.1068802,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.4,0.4
854,00-0039325,C.Steele,Carson Steele,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lhkvntmjrt4fbsxi3hrt",KC,2024,3,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,17,72.0,0,0.0,0.0,6.0,0.36020902,0,1,2,2.0,0,0.0,0.0,-6.0,8.0,0.0,-0.7914683,0,-0.33333334,0.055555556,-0.03314917,0.060128912,0.0,7.4,8.4
855,00-0039337,M.Nabers,Malik Nabers,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w3edoyyuomqlovvp9ixc",NYG,2024,1,REG,MIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,7,66.0,0,0.0,0.0,49.0,22.0,2.0,4.1148777,0,1.3469387,0.18421052,0.27071825,0.46581855,0.0,6.6,11.6
856,00-0039337,M.Nabers,Malik Nabers,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w3edoyyuomqlovvp9ixc",NYG,2024,2,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,10,18,127.0,1,0.0,0.0,208.0,86.0,7.0,8.602729,0,0.6105769,0.6666667,0.7455197,1.5218638,0.0,18.7,28.7
857,00-0039337,M.Nabers,Malik Nabers,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w3edoyyuomqlovvp9ixc",NYG,2024,3,REG,CLE,0,1,0.0,0,0.0,0.0,-0.0,0,0,1.0,0.0,0.0,-0.96373236,0,0.0,,2,4.0,0,0.0,0.0,1.0,1.728936,0,8,12,78.0,2,0.0,0.0,127.0,19.0,5.0,6.97868,0,0.61417323,0.36363637,0.59345794,0.9608751,0.0,20.2,28.2
858,00-0039337,M.Nabers,Malik Nabers,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w3edoyyuomqlovvp9ixc",NYG,2024,4,REG,DAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-4.0,0,0.0,0.0,0.0,-1.1068597,0,12,15,115.0,0,0.0,0.0,156.0,29.0,5.0,4.922591,0,0.73717946,0.39473686,0.41935483,0.8856537,0.0,11.1,23.1
859,00-0039338,B.Bowers,Brock Bowers,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjy86xh8munoiur4hejf",LV,2024,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,8,58.0,0,0.0,0.0,39.0,16.0,3.0,2.765296,0,1.4871795,0.25,0.26712328,0.5619863,0.0,5.8,11.8
