,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
10,FF,2024-09-17,93.5,-2.23,5.03,"Wheeler, Zack",669003,554430,,ball,,,,,11,"Garrett Mitchell grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,B,,,0,0,2024,-0.94,1.23,-0.96,3.32,,,,0,7,Bot,,,,,592663,,,5.440990635258657,-136.0657420565675,-1.3892765221504484,-12.847169540094818,29.98990036516788,-16.78714510530199,3.54,1.54,,,,95.2,2334,7.3,745935,554430,592663,547180,681082,624641,607208,669016,679032,592206,53.21,,,,,,,,54,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,225,0.0,0.034,,
11,ST,2024-09-17,84.3,-2.22,4.94,"Wheeler, Zack",661388,554430,grounded_into_double_play,hit_into_play,,,,,9,"William Contreras grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper.   Jackson Chourio out at 2nd.    William Contreras out at 1st.",R,R,R,MIL,PHI,X,6.0,ground_ball,0,1,2024,0.55,0.45,0.62,1.65,,,694192.0,1,6,Bot,118.78,150.39,,,592663,,,5.572207645688273,-122.67954992553256,-2.1282923124820705,4.412014939680743,25.572942588444143,-27.45471151777566,3.49,1.68,7.0,84.8,-13.0,85.2,2418,7.0,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.48,0.071,0.06,0.0,1.0,0.0,0.0,2.0,47,2,Sweeper,1,3,1,3,3,1,1,3,Standard,Standard,71,-0.078,-0.322,71.64245,8.16889
12,FF,2024-09-17,95.4,-2.16,5.07,"Wheeler, Zack",661388,554430,,foul,,,,,11,"William Contreras grounds into a double play, shortstop Trea Turner to second baseman Bryson Stott to first baseman Bryce Harper.   Jackson Chourio out at 2nd.    William Contreras out at 1st.",R,R,R,MIL,PHI,S,,,0,0,2024,-0.8,1.09,-1.07,2.81,,,694192.0,1,6,Bot,,,,,592663,,,4.75498429591457,-138.87754663684387,-2.797959416729065,-11.412881170551676,33.116143293254936,-17.65244737167268,3.49,1.68,248.0,74.8,38.0,96.9,2507,7.3,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.24,,,,,,,,47,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,234,0.0,-0.047,71.03054,6.66477
13,CU,2024-09-17,82.9,-2.23,5.08,"Wheeler, Zack",694192,554430,single,hit_into_play,,,,,13,Jackson Chourio singles on a ground ball to third baseman Edmundo Sosa.,R,R,R,MIL,PHI,X,5.0,ground_ball,1,2,2024,0.71,-0.71,-0.19,1.38,,,,1,6,Bot,95.93,162.6,,,592663,,,3.296513466408041,-120.7229228371621,-0.6039141735255517,6.380310733394926,22.2612241314361,-39.26577738888543,3.37,1.6,4.0,89.3,-24.0,84.1,2657,6.9,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.58,0.077,0.095,0.9,1.0,1.0,0.0,2.0,46,4,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,65,0.041,0.313,67.56611,7.73474
14,FF,2024-09-17,95.7,-2.15,5.02,"Wheeler, Zack",694192,554430,,foul,,,,,5,Jackson Chourio singles on a ground ball to third baseman Edmundo Sosa.,R,R,R,MIL,PHI,S,,,1,1,2024,-0.77,1.25,-0.18,2.74,,,,1,6,Bot,,,,,592663,,,7.083362565557352,-139.23063333723786,-3.26731598466355,-11.66180491896738,31.89269147311272,-15.393143162455562,3.37,1.6,233.0,83.3,55.0,97.6,2524,7.4,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.1,,,,,,,,46,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,229,0.0,-0.039,65.25797,7.20071
15,FF,2024-09-17,94.9,-2.13,5.07,"Wheeler, Zack",694192,554430,,called_strike,,,,,6,Jackson Chourio singles on a ground ball to third baseman Edmundo Sosa.,R,R,R,MIL,PHI,S,,,1,0,2024,-0.75,1.23,0.5,2.75,,,,1,6,Bot,,,,,592663,,,8.725140168051118,-137.97476755053054,-3.201102870309617,-11.474462497458124,30.946768183595776,-15.893980984678649,3.44,1.55,,,,96.8,2465,7.4,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.08,,,,,,,,46,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,228,0.0,-0.032,,
16,FF,2024-09-17,95.2,-2.09,5.1,"Wheeler, Zack",694192,554430,,ball,,,,,11,Jackson Chourio singles on a ground ball to third baseman Edmundo Sosa.,R,R,R,MIL,PHI,B,,,0,0,2024,-0.62,1.3,-0.31,4.18,,,,1,6,Bot,,,,,592663,,,6.198811660890975,-138.54364478672755,0.3610742373130327,-9.361322704454736,32.134153684175985,-15.807138397321369,3.36,1.47,,,,97.2,2504,7.5,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.01,,,,,,,,46,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,225,0.0,0.025,,
17,FF,2024-09-17,95.5,-2.05,5.08,"Wheeler, Zack",668930,554430,field_out,hit_into_play,,,,,3,"Brice Turang grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,X,6.0,ground_ball,2,1,2024,-0.54,1.31,0.31,3.17,,,,0,6,Bot,115.73,146.32,,,592663,,,7.583922924909075,-138.9162991478537,-2.3798257338162303,-8.660429211986527,31.83257716272486,-14.83290838734384,3.27,1.51,10.0,90.8,-18.0,97.4,2315,7.4,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.09,0.123,0.131,0.0,1.0,0.0,0.0,2.0,45,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,224,-0.035,-0.266,57.57296,5.06334
18,FF,2024-09-17,94.6,-2.13,5.1,"Wheeler, Zack",668930,554430,,ball,,,,,12,"Brice Turang grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,B,,,1,1,2024,-0.65,1.39,0.87,4.08,,,,0,6,Bot,,,,,592663,,,9.49647919592654,-137.39872400824515,-0.0484336219412027,-10.420904291927249,30.90363497002629,-14.80059810058819,3.34,1.55,,,,96.4,2353,7.5,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.02,,,,,,,,45,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,230,0.0,0.048,,
19,FF,2024-09-17,94.5,-2.03,5.16,"Wheeler, Zack",668930,554430,,foul,,,,,5,"Brice Turang grounds out, shortstop Trea Turner to first baseman Bryce Harper.",R,L,R,MIL,PHI,S,,,1,0,2024,-0.68,1.27,-0.2,2.52,,,,0,6,Bot,,,,,592663,,,6.402009689975014,-137.5667216971236,-4.100673379453576,-10.018475471148191,29.532507838269268,-15.276064143635804,3.27,1.51,291.0,86.8,35.0,96.3,2312,7.2,745935,554430,592663,547180,681082,624641,607208,669016,670276,592206,53.27,,,,,,,,45,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,225,0.0,-0.044,62.87636,6.11807
