,Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
288,Marco Gonzales,32,97,Maj-NL,Pittsburgh,7,7,1.0,1.0,,33.2,43,17,17,11,23,5,0,4.54,138,8,0,0,4,1,2,0,0,151,546,0.68,0.17,0.08,0.42,0.26,0.07,1.604,0.342,6.1,2.09,594835
289,Victor Gonz\xc3\xa1lez,28,145,Maj-AL,New York,27,0,2.0,1.0,2.0,23.1,13,12,10,13,11,3,3,3.86,81,2,0,0,2,0,0,1,2,97,386,0.59,0.16,0.08,0.54,0.17,0.03,1.114,0.149,4.2,0.85,624647
290,Tanner Gordon,26,62,Maj-NL,Colorado,8,8,,6.0,,34.1,53,34,33,6,26,10,2,8.65,149,9,3,0,3,1,1,0,0,160,607,0.69,0.15,0.09,0.39,0.24,0.04,1.718,0.377,6.8,4.33,685299
291,MacKenzie Gore,25,45,Maj-NL,Washington,32,32,10.0,12.0,,166.1,171,93,72,65,181,15,11,3.9,649,36,3,0,21,4,26,2,0,731,2995,0.64,0.14,0.12,0.4,0.3,0.05,1.419,0.341,9.8,2.78,669022
292,Anthony Gose,33,65,Maj-AL,Cleveland,3,0,,,,4.1,9,5,5,1,4,2,0,10.38,21,4,0,0,0,0,0,0,0,22,79,0.67,0.19,0.1,0.47,0.18,0.0,2.308,0.467,8.3,4.0,543238
293,Gordon Graceffo,24,125,Maj-NL,St. Louis,2,1,,1.0,,7.2,7,4,4,2,6,1,0,4.7,28,4,0,0,1,1,0,0,0,31,105,0.67,0.13,0.1,0.43,0.17,0.04,1.174,0.273,7.0,3.0,700669
294,Brusdar Graterol,25,49,Maj-NL,Los Angeles,7,0,,,,7.1,3,2,2,2,7,0,0,2.45,25,0,0,0,0,0,0,0,0,27,102,0.66,0.18,0.11,0.44,0.33,0.11,0.682,0.167,8.6,3.5,660813
295,Jon Gray,32,74,Maj-AL,Texas,23,19,5.0,6.0,,102.2,107,54,51,28,86,11,0,4.47,408,17,4,1,2,2,9,0,1,439,1623,0.67,0.15,0.12,0.41,0.26,0.07,1.315,0.307,7.5,3.07,592351
296,Josiah Gray,26,222,Maj-NL,Washington,2,2,,2.0,,8.1,15,13,13,5,9,2,0,14.04,37,5,0,0,1,2,1,0,0,44,176,0.63,0.14,0.14,0.3,0.27,0.1,2.4,0.464,9.7,1.8,680686
297,Sonny Gray,34,55,Maj-NL,St. Louis,28,28,13.0,9.0,,166.1,142,79,71,39,203,21,3,3.84,623,33,6,0,13,3,25,5,1,671,2484,0.66,0.18,0.14,0.44,0.26,0.05,1.088,0.301,11.0,5.21,543243
298,Chad Green,33,48,Maj-AL,Toronto,52,0,4.0,6.0,16.0,52.1,40,20,19,14,43,8,2,3.27,186,6,0,3,5,4,6,2,0,206,821,0.67,0.14,0.11,0.37,0.22,0.09,1.032,0.23,7.4,3.07,643338
299,Hunter Greene,24,44,Maj-NL,Cincinnati,26,26,9.0,5.0,,150.1,96,47,46,57,169,12,19,2.75,526,19,3,0,5,6,14,3,2,611,2563,0.64,0.14,0.13,0.35,0.21,0.13,1.018,0.239,10.1,2.96,668881
300,Michael Grove,27,56,Maj-NL,Los Angeles,39,2,4.0,4.0,,51.0,46,31,29,16,54,6,6,5.12,191,7,1,0,3,2,4,1,2,216,827,0.64,0.17,0.11,0.45,0.23,0.09,1.216,0.301,9.5,3.38,675627
301,Sean Guenther,28,45,Maj-AL,Detroit,17,0,3.0,,,21.0,9,2,2,2,12,0,2,0.86,69,2,1,0,3,0,0,0,0,73,243,0.7,0.22,0.09,0.63,0.09,0.04,0.524,0.158,5.1,6.0,674944
302,Luis Guerrero,23,44,Maj-AL,Boston,9,0,,,,10.0,6,1,0,2,9,0,0,0.0,33,1,0,0,1,1,0,1,0,36,133,0.68,0.2,0.13,0.44,0.08,0.12,0.8,0.24,8.1,4.5,692285
303,Luis Guillorme,29,116,"Maj-AL,Maj-NL","Atlanta,Los Angeles",3,0,,,,3.0,4,4,4,2,0,1,0,12.0,13,1,0,0,0,0,0,0,0,15,43,0.53,0.02,0.12,0.54,0.23,0.08,2.0,0.25,0.0,0.0,641645
304,Vladimir Gutierrez,28,226,Maj-NL,Miami,1,0,,,,4.0,3,3,3,2,4,1,0,6.75,15,0,0,0,0,0,1,0,0,17,80,0.59,0.11,0.13,0.18,0.18,0.27,1.25,0.2,9.0,2.0,661269
305,Josh Hader,30,46,Maj-AL,Houston,71,0,8.0,8.0,34.0,71.0,43,33,30,25,105,12,1,3.8,251,5,1,0,5,1,5,1,1,278,1166,0.67,0.12,0.21,0.3,0.21,0.11,0.958,0.23,13.3,4.2,623352
306,DL Hall,25,44,Maj-NL,Milwaukee,13,7,1.0,2.0,,43.0,48,26,24,21,44,6,4,5.02,170,5,0,0,4,1,2,0,1,197,782,0.62,0.19,0.09,0.48,0.19,0.08,1.605,0.347,9.2,2.1,669084
307,Seth Halvorsen,24,44,Maj-NL,Colorado,12,0,2.0,1.0,2.0,12.1,8,3,2,2,13,2,1,1.46,43,0,0,0,1,0,4,1,0,46,178,0.67,0.18,0.14,0.47,0.2,0.1,0.811,0.214,9.5,6.5,678020
308,Ian Hamilton,29,44,Maj-AL,New York,35,0,,1.0,1.0,37.2,37,17,16,14,41,2,3,3.82,142,10,0,0,2,4,3,0,0,163,619,0.67,0.16,0.18,0.44,0.27,0.09,1.354,0.34,9.8,2.93,641656
309,Garrett Hampson,29,79,Maj-AL,Kansas City,1,0,,,,1.0,0,0,0,0,0,0,1,0.0,3,0,0,0,0,0,0,0,0,4,13,0.46,0.08,0.0,0.0,0.33,0.33,0.0,0.0,0.0,,641658
310,Emerson Hancock,25,45,Maj-AL,Seattle,12,12,4.0,4.0,,60.2,62,37,32,19,39,12,6,4.75,239,7,2,0,5,2,3,0,0,266,1015,0.66,0.15,0.1,0.36,0.28,0.08,1.335,0.263,5.8,2.05,676106
311,Brenan Hanifee,26,46,Maj-AL,Detroit,21,3,1.0,1.0,,29.1,27,7,6,6,23,2,0,1.84,114,4,2,0,2,0,3,0,0,120,447,0.67,0.18,0.07,0.53,0.25,0.04,1.125,0.281,7.1,3.83,669724
313,Hogan Harris,27,46,Maj-AL,Oakland,21,9,4.0,4.0,,72.1,65,29,23,33,61,7,3,2.86,266,14,2,0,10,1,2,3,2,305,1213,0.63,0.19,0.08,0.38,0.25,0.07,1.355,0.292,7.6,1.85,663687
314,Kyle Harrison,22,70,Maj-NL,San Francisco,24,24,7.0,7.0,,124.1,125,65,63,42,118,18,7,4.56,476,25,1,0,9,6,18,6,2,532,2078,0.64,0.18,0.1,0.41,0.23,0.07,1.343,0.309,8.5,2.81,690986
