,Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
369,Kyle Hurt,26,210,Maj-NL,Los Angeles,3,1,,1.0,,6.2,8,2,1,1,3,0,0,1.35,26,2,0,0,1,0,2,0,0,27,87,0.75,0.11,0.16,0.35,0.43,0.04,1.35,0.348,4.1,3.0,669165
370,Brant Hurter,25,46,Maj-AL,Detroit,10,1,6.0,1.0,,45.1,34,13,13,6,38,4,0,2.58,167,6,1,0,2,1,1,0,0,175,645,0.7,0.22,0.09,0.55,0.14,0.1,0.882,0.238,7.5,6.33,676428
371,Raisel Iglesias,34,43,Maj-NL,Atlanta,66,0,6.0,2.0,34.0,69.1,38,19,15,13,68,4,3,1.95,238,5,2,3,4,2,2,0,0,259,928,0.69,0.16,0.16,0.45,0.19,0.06,0.736,0.202,8.8,5.23,628452
372,Shota Imanaga,30,51,Maj-NL,Chicago,29,29,15.0,3.0,,173.1,149,66,56,28,174,27,3,2.91,662,23,1,0,7,1,3,2,3,694,2587,0.69,0.13,0.15,0.37,0.21,0.09,1.021,0.264,9.0,6.21,684007
373,Jairo Iriarte,22,47,Maj-AL,Chicago,6,0,,1.0,,6.0,3,3,1,8,6,0,0,1.5,21,0,0,0,0,1,0,0,0,30,137,0.53,0.2,0.08,0.5,0.13,0.13,1.833,0.188,9.0,0.75,683568
374,Cole Irvin,30,49,Maj-AL,"Baltimore,Minnesota",29,16,6.0,6.0,1.0,111.0,132,71,63,29,78,18,6,5.11,450,28,5,1,9,6,2,2,0,492,1767,0.67,0.18,0.07,0.4,0.25,0.06,1.451,0.317,6.3,2.69,608344
375,Jake Irvin,27,44,Maj-NL,Washington,33,33,10.0,14.0,,187.2,173,97,92,52,156,29,4,4.41,710,38,3,1,20,1,5,4,2,769,3046,0.65,0.17,0.1,0.45,0.23,0.06,1.199,0.274,7.5,3.0,663623
376,Jay Jackson,36,145,Maj-AL,Minnesota,20,0,1.0,2.0,,26.1,28,24,22,9,29,7,0,7.52,105,4,1,0,0,0,3,1,0,114,457,0.64,0.16,0.11,0.36,0.32,0.07,1.405,0.304,9.9,3.22,543351
377,Luke Jackson,32,44,Maj-NL,"Atlanta,San Francisco",52,0,4.0,3.0,,53.0,52,33,30,26,59,7,2,5.09,204,9,0,0,5,2,4,1,1,235,917,0.63,0.16,0.14,0.51,0.21,0.03,1.472,0.321,10.0,2.27,592426
378,Alek Jacob,26,59,Maj-NL,San Diego,7,0,,,,14.2,9,4,4,2,19,1,2,2.45,52,0,1,0,0,1,0,0,0,57,232,0.64,0.24,0.12,0.26,0.32,0.09,0.75,0.242,11.7,9.5,689690
379,Joe Jacques,29,130,"Maj-AL,Maj-NL","Arizona,Boston",2,0,,,,3.0,6,3,3,1,2,1,1,9.0,14,1,0,0,0,0,2,0,0,16,50,0.66,0.18,0.08,0.42,0.33,0.0,2.333,0.455,6.0,2.0,682175
380,Kenley Jansen,36,51,Maj-AL,Boston,54,0,4.0,2.0,27.0,54.2,38,20,20,20,62,4,1,3.29,194,9,0,2,1,3,10,3,0,218,802,0.67,0.18,0.12,0.31,0.22,0.1,1.061,0.26,10.2,3.1,445276
381,Bryce Jarvis,26,105,Maj-NL,Arizona,44,0,1.0,2.0,,59.1,52,25,21,33,38,6,5,3.19,218,9,0,4,11,2,2,0,0,258,1007,0.63,0.15,0.09,0.43,0.25,0.03,1.433,0.261,5.8,1.15,686826
382,Cristian Javier,27,175,Maj-AL,Houston,7,7,3.0,1.0,,34.2,30,16,15,19,27,4,0,3.89,129,9,1,0,2,1,5,1,1,150,570,0.59,0.16,0.1,0.26,0.26,0.11,1.414,0.263,7.0,1.42,664299
383,Griffin Jax,29,47,Maj-AL,Minnesota,72,0,5.0,5.0,10.0,71.0,47,19,16,15,95,4,2,2.03,256,7,3,1,2,1,3,1,1,276,1068,0.69,0.17,0.19,0.52,0.18,0.06,0.873,0.272,12.0,6.33,643377
384,Tyler Jay,30,105,Maj-NL,"Milwaukee,New York",5,0,,,,7.2,9,5,4,6,6,0,0,4.7,30,3,0,0,2,0,2,0,0,36,153,0.63,0.14,0.1,0.63,0.21,0.04,1.957,0.375,7.0,1.0,664079
385,Daulton Jefferies,28,130,Maj-NL,"Pittsburgh,San Francisco",6,1,,2.0,,14.2,24,20,16,4,12,4,1,9.82,68,9,1,0,1,0,1,0,0,73,281,0.67,0.17,0.09,0.38,0.27,0.07,1.909,0.385,7.4,3.0,641726
386,Dany Jim\xc3\xa9nez,30,81,Maj-AL,Oakland,25,0,1.0,3.0,1.0,25.2,21,18,14,19,25,6,1,4.91,94,6,1,0,3,3,0,0,2,117,450,0.61,0.19,0.11,0.33,0.15,0.11,1.558,0.227,8.8,1.32,666204
387,Joe Jim\xc3\xa9nez,29,43,Maj-NL,Atlanta,69,0,1.0,5.0,3.0,68.2,45,22,20,23,82,2,4,2.62,248,9,0,1,3,2,4,0,0,277,1089,0.68,0.16,0.15,0.43,0.18,0.07,0.99,0.259,10.7,3.57,641729
388,Jackson Jobe,21,45,Maj-AL,Detroit,2,0,,,,4.0,1,0,0,1,2,0,0,0.0,14,0,0,0,0,0,0,0,0,16,48,0.65,0.21,0.04,0.42,0.17,0.0,0.5,0.083,4.5,2.0,695549
389,Pierce Johnson,33,43,Maj-NL,Atlanta,58,0,6.0,6.0,2.0,56.1,48,25,23,25,67,6,2,3.67,209,8,1,1,7,0,8,1,1,236,917,0.64,0.19,0.12,0.46,0.23,0.05,1.296,0.309,10.7,2.68,572955
391,Seth Johnson,25,65,Maj-NL,Philadelphia,1,1,,1.0,,2.1,8,9,9,3,0,1,0,34.71,14,2,0,0,0,1,1,0,0,18,58,0.64,0.21,0.1,0.27,0.4,0.07,4.714,0.5,0.0,0.0,686751
392,Jared Jones,22,46,Maj-NL,Pittsburgh,22,22,6.0,8.0,,121.2,106,60,56,39,132,18,5,4.14,456,29,4,1,10,4,5,2,2,504,1912,0.67,0.15,0.14,0.39,0.24,0.08,1.192,0.284,9.8,3.38,683003
393,Ben Joyce,23,70,Maj-AL,Los Angeles,31,1,2.0,,4.0,34.2,26,8,8,14,33,1,4,2.08,124,2,0,0,5,0,0,1,1,142,541,0.65,0.15,0.14,0.59,0.21,0.04,1.154,0.278,8.6,2.36,690829
394,Jakob Junis,31,48,Maj-NL,"Cincinnati,Milwaukee",24,6,4.0,,1.0,67.0,49,22,20,8,51,8,3,2.69,241,12,1,0,6,1,6,1,0,253,943,0.69,0.22,0.1,0.39,0.26,0.07,0.851,0.224,6.9,6.38,596001
395,Janson Junk,28,69,"Maj-AL,Maj-NL","Milwaukee,Oakland",6,0,,,,8.0,22,13,13,4,8,3,0,14.63,43,4,0,0,2,1,2,0,0,48,175,0.67,0.14,0.07,0.36,0.28,0.06,3.25,0.576,9.0,2.0,676083
396,Evan Justice,25,72,Maj-NL,Colorado,1,0,,,,0.1,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,2,8,0.5,0.25,0.13,,,,3.0,,27.0,1.0,687145
397,Tommy Kahnle,34,46,Maj-AL,New York,50,0,,2.0,1.0,42.2,30,16,10,19,46,5,2,2.11,158,9,0,1,4,0,2,0,0,179,750,0.63,0.15,0.17,0.6,0.2,0.02,1.148,0.234,9.7,2.42,592454
398,Brad Keller,28,78,Maj-AL,"Boston,Chicago",16,2,,4.0,1.0,41.1,48,28,25,15,32,9,2,5.44,175,11,0,0,2,0,1,0,0,192,743,0.62,0.16,0.09,0.5,0.2,0.06,1.524,0.291,7.0,2.13,641745
399,Mitch Keller,28,47,Maj-NL,Pittsburgh,31,31,11.0,12.0,,178.0,182,90,84,50,166,23,15,4.25,697,38,11,0,11,8,33,1,0,773,2851,0.66,0.19,0.09,0.4,0.28,0.06,1.303,0.308,8.4,3.32,656605
400,Casey Kelly,34,76,Maj-NL,Cincinnati,2,0,,,1.0,5.1,5,3,3,1,4,1,0,5.06,19,1,0,0,1,1,2,0,0,21,78,0.67,0.12,0.15,0.38,0.13,0.13,1.125,0.267,6.8,4.0,543391
401,Joe Kelly,36,46,Maj-NL,Los Angeles,35,0,1.0,1.0,,32.0,31,19,17,16,35,4,5,4.78,119,6,0,1,2,1,1,1,1,143,553,0.63,0.17,0.09,0.48,0.24,0.05,1.469,0.333,9.8,2.19,523260
402,Kevin Kelly,26,45,Maj-AL,Tampa Bay,68,0,5.0,2.0,1.0,70.2,59,25,21,9,63,7,5,2.67,261,8,2,1,5,1,6,2,1,278,1033,0.68,0.24,0.08,0.56,0.22,0.04,0.962,0.271,8.0,7.0,687330
403,Merrill Kelly,35,46,Maj-NL,Arizona,13,13,5.0,1.0,,73.2,67,35,33,19,63,11,2,4.03,277,16,1,0,7,1,5,2,1,300,1139,0.65,0.17,0.09,0.43,0.23,0.04,1.167,0.275,7.7,3.32,518876
404,Michael Kelly,31,164,Maj-AL,Oakland,28,0,3.0,2.0,,31.1,27,11,9,10,22,2,3,2.59,112,3,2,1,5,2,1,0,0,128,470,0.66,0.18,0.1,0.4,0.19,0.08,1.181,0.278,6.3,2.2,547184
405,Zack Kelly,29,60,Maj-AL,Boston,49,3,6.0,3.0,,56.2,44,31,25,27,61,10,2,3.97,212,8,0,3,2,0,6,1,1,241,958,0.64,0.17,0.12,0.48,0.21,0.07,1.253,0.241,9.7,2.26,677161
406,Orion Kerkering,23,45,Maj-NL,Philadelphia,64,2,5.0,3.0,,63.0,51,20,16,17,74,2,8,2.29,229,12,0,0,6,2,6,2,0,257,1087,0.65,0.2,0.11,0.54,0.25,0.03,1.079,0.316,10.6,4.35,689147
407,Ray Kerr,29,150,Maj-NL,Atlanta,10,2,1.0,2.0,,22.1,29,14,14,7,27,4,3,5.64,92,8,0,0,2,1,5,1,1,103,383,0.64,0.16,0.16,0.35,0.29,0.03,1.612,0.403,10.9,3.86,678061
408,Clayton Kershaw,36,74,Maj-NL,Los Angeles,7,7,2.0,2.0,,30.0,36,19,15,9,24,2,2,4.5,119,7,1,1,2,3,0,3,0,133,504,0.66,0.16,0.11,0.4,0.33,0.08,1.5,0.354,7.2,2.67,477132
409,Grae Kessinger,26,215,Maj-AL,Houston,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,11,0.73,0.36,0.0,0.33,0.0,0.0,0.0,0.0,0.0,,666197
410,Dallas Keuchel,36,122,Maj-NL,Milwaukee,4,4,,,,16.2,23,10,10,8,11,3,0,5.4,70,4,1,0,2,1,4,0,0,79,308,0.55,0.18,0.07,0.53,0.18,0.07,1.86,0.351,5.9,1.38,572971
411,Yusei Kikuchi,33,48,Maj-AL,"Houston,Toronto",32,32,9.0,10.0,,175.2,167,85,79,44,206,25,2,4.05,683,23,1,0,7,3,8,4,0,736,2920,0.65,0.17,0.13,0.43,0.23,0.05,1.201,0.312,10.6,4.68,579328
412,Caleb Kilian,27,44,Maj-NL,Chicago,2,1,,1.0,,10.2,11,6,5,6,7,2,0,4.22,41,2,0,0,1,0,2,0,0,48,167,0.63,0.13,0.1,0.46,0.23,0.09,1.594,0.281,5.9,1.17,668873
413,Craig Kimbrel,36,56,Maj-AL,Baltimore,57,0,7.0,5.0,23.0,52.1,40,35,31,31,73,7,5,5.33,192,7,1,1,0,3,15,1,1,232,962,0.61,0.18,0.12,0.32,0.3,0.09,1.357,0.287,12.6,2.35,518886
414,Isiah Kiner-Falefa,29,200,Maj-AL,Toronto,2,0,,,,2.0,1,1,1,2,0,0,0,4.5,6,0,0,0,0,1,0,0,0,9,18,0.44,0.0,0.0,0.29,0.14,0.0,1.5,0.143,0.0,0.0,643396
415,Bryan King,27,50,Maj-AL,Houston,28,0,1.0,,,26.1,20,7,7,10,32,1,3,2.39,95,5,0,0,3,1,0,0,0,109,416,0.66,0.18,0.11,0.45,0.23,0.14,1.139,0.302,10.9,3.2,687911
417,John King,29,46,Maj-NL,St. Louis,56,0,3.0,3.0,,60.0,58,23,19,14,38,5,1,2.85,225,6,0,1,8,7,11,0,0,248,857,0.68,0.17,0.08,0.62,0.2,0.02,1.2,0.28,5.7,2.71,667463
418,Michael King,29,49,Maj-NL,San Diego,31,30,13.0,9.0,,173.2,144,71,57,63,201,17,7,2.95,653,27,2,2,8,1,8,3,3,726,2895,0.65,0.19,0.12,0.42,0.26,0.09,1.192,0.291,10.4,3.19,650633
419,Tyler Kinley,33,55,Maj-NL,Colorado,67,0,6.0,1.0,12.0,64.0,61,44,44,33,72,11,2,6.19,246,14,2,2,2,3,11,0,2,285,1187,0.63,0.13,0.16,0.38,0.26,0.08,1.469,0.301,10.1,2.18,641755
420,George Kirby,26,48,Maj-AL,Seattle,33,33,14.0,11.0,,191.0,181,82,75,23,179,22,7,3.53,740,38,3,0,8,5,24,6,0,778,2968,0.68,0.15,0.11,0.43,0.21,0.09,1.068,0.292,8.4,7.78,669923
421,Austin Kitchen,27,67,Maj-NL,Miami,4,1,,1.0,,7.0,16,12,11,3,4,1,0,14.14,38,4,0,0,1,0,1,0,0,42,158,0.65,0.19,0.04,0.65,0.21,0.03,2.714,0.455,5.1,1.33,685116
422,Andrew Kittredge,34,46,Maj-NL,St. Louis,74,0,5.0,5.0,1.0,70.2,60,26,22,20,67,10,0,2.8,263,12,1,2,6,3,11,0,1,287,1029,0.69,0.16,0.14,0.46,0.26,0.07,1.132,0.265,8.5,3.35,552640
423,Will Klein,24,90,Maj-AL,"Kansas City,Oakland",8,0,1.0,,,7.1,12,9,9,6,7,0,0,11.05,31,4,0,0,1,1,0,1,1,38,146,0.56,0.2,0.08,0.4,0.32,0.0,2.455,0.48,8.6,1.17,694361
424,Adam Kloffenstein,23,145,Maj-NL,St. Louis,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,15,0.67,0.2,0.0,0.33,0.0,0.33,0.0,0.0,0.0,,680572
425,Landon Knack,26,44,Maj-NL,Los Angeles,15,12,3.0,5.0,1.0,69.0,58,28,28,18,69,14,3,3.65,264,9,2,0,1,1,7,0,0,286,1149,0.63,0.17,0.1,0.31,0.23,0.09,1.101,0.242,9.0,3.83,689017
426,Andrew Knizner,29,148,Maj-AL,Texas,2,0,,,,3.0,1,0,0,2,0,0,0,0.0,8,1,0,0,1,1,0,0,0,11,36,0.44,0.17,0.0,0.44,0.44,0.0,1.0,0.111,0.0,0.0,668800
427,Matt Koch,33,173,Maj-NL,Colorado,2,0,,,1.0,0.1,3,4,3,1,0,1,0,81.0,4,1,0,0,0,0,0,0,0,5,23,0.61,0.17,0.09,0.25,0.5,0.0,12.0,0.667,0.0,0.0,571863
428,Jack Kochanowicz,23,44,Maj-AL,Los Angeles,11,11,2.0,6.0,,65.1,68,30,29,10,25,7,8,3.99,247,14,0,1,16,0,2,2,0,266,859,0.68,0.15,0.07,0.57,0.23,0.05,1.194,0.284,3.4,2.5,686799
429,Jared Koenig,30,45,Maj-NL,Milwaukee,55,6,9.0,4.0,1.0,62.0,54,22,17,23,63,4,4,2.47,236,5,1,4,3,0,5,1,1,265,1018,0.66,0.19,0.1,0.48,0.2,0.08,1.242,0.296,9.1,2.74,657649
430,Stephen Kolek,27,105,Maj-NL,San Diego,42,0,3.0,,,46.2,59,30,27,12,39,4,3,5.21,195,9,0,0,2,0,2,1,0,211,798,0.67,0.18,0.1,0.56,0.26,0.01,1.521,0.362,7.5,3.25,663568
431,Michael Kopech,28,44,"Maj-AL,Maj-NL","Chicago,Los Angeles",67,0,6.0,8.0,15.0,67.2,44,27,26,34,88,9,5,3.46,234,4,0,2,6,5,6,3,1,279,1144,0.64,0.17,0.15,0.39,0.17,0.06,1.153,0.247,11.7,2.59,656629
432,Evan Kravetz,27,76,Maj-NL,Cincinnati,1,0,,,,0.2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,2,4,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,667478
433,Dean Kremer,28,49,Maj-AL,Baltimore,24,24,8.0,10.0,,129.2,110,72,59,51,123,18,3,4.1,493,19,0,0,6,5,6,3,1,553,2171,0.64,0.18,0.09,0.42,0.19,0.1,1.242,0.258,8.5,2.41,665152
434,Zac Kristofak,26,198,Maj-AL,Los Angeles,1,0,,,,2.0,3,2,0,2,2,0,0,0.0,8,2,0,0,1,1,2,0,0,11,39,0.59,0.21,0.13,0.57,0.29,0.0,2.5,0.429,9.0,1.0,670219
435,Matt Krook,29,135,Maj-AL,Baltimore,1,0,,,,1.0,1,3,2,1,2,1,0,18.0,5,0,0,0,0,0,0,0,0,6,27,0.59,0.11,0.07,0.67,0.0,0.0,2.0,0.0,18.0,2.0,640454
436,Chad Kuhl,31,53,Maj-AL,Chicago,31,1,,2.0,1.0,53.1,56,33,30,25,54,5,6,5.06,205,11,1,1,5,1,1,1,0,240,981,0.58,0.16,0.1,0.46,0.25,0.05,1.519,0.347,9.1,2.16,641771
437,Joel Kuhnel,29,80,Maj-AL,"Houston,Tampa Bay",6,0,,,,10.0,8,5,5,0,5,1,1,4.5,38,2,0,0,0,0,1,0,0,39,158,0.65,0.14,0.1,0.48,0.15,0.12,0.8,0.219,4.5,,669270
438,Joe La Sorsa,26,44,Maj-NL,Washington,16,0,,,,17.2,17,9,9,5,14,4,1,4.58,66,0,0,1,0,1,4,1,1,74,271,0.7,0.24,0.04,0.41,0.22,0.07,1.245,0.265,7.1,2.8,686747
439,Peter Lambert,27,82,Maj-NL,Colorado,28,3,2.0,5.0,,61.1,73,42,39,29,50,7,2,5.72,242,12,4,2,5,5,6,1,2,280,1039,0.63,0.15,0.09,0.37,0.31,0.07,1.663,0.347,7.3,1.72,663567
440,Dinelson Lamet,31,221,Maj-NL,Los Angeles,3,0,,,1.0,4.1,2,2,1,2,3,1,0,2.08,15,0,0,1,0,1,0,0,0,18,74,0.64,0.16,0.08,0.38,0.08,0.0,0.923,0.083,6.2,1.5,659275
441,Alex Lange,28,174,Maj-AL,Detroit,21,0,,3.0,2.0,18.2,16,16,9,17,21,0,2,4.34,69,4,0,0,2,0,1,1,0,90,377,0.58,0.15,0.12,0.44,0.3,0.08,1.768,0.333,10.1,1.24,656638
443,Jacob Latz,28,102,Maj-AL,Texas,46,0,2.0,3.0,,43.2,39,20,18,27,40,6,1,3.71,162,4,0,3,3,2,1,1,0,192,814,0.61,0.14,0.12,0.35,0.24,0.13,1.512,0.28,8.2,1.48,656641
444,Derek Law,33,44,Maj-NL,Washington,75,0,7.0,4.0,1.0,90.0,82,31,26,24,76,7,1,2.6,333,11,1,0,11,6,7,1,0,365,1368,0.65,0.15,0.13,0.48,0.29,0.05,1.178,0.293,7.6,3.17,571882
445,Justin Lawrence,29,45,Maj-NL,Colorado,56,0,4.0,4.0,2.0,59.2,73,52,43,33,45,9,7,6.49,233,11,1,1,11,4,8,2,2,279,1082,0.6,0.17,0.09,0.53,0.27,0.02,1.777,0.35,6.8,1.36,664875
446,Max Lazar,25,60,Maj-NL,Philadelphia,11,0,,,,13.2,13,7,7,2,9,2,0,4.61,52,4,0,0,2,0,0,0,1,54,214,0.65,0.16,0.08,0.44,0.35,0.07,1.098,0.268,5.9,4.5,676661
447,Kyle Leahy,27,45,Maj-NL,St. Louis,33,0,1.0,1.0,1.0,48.2,40,23,22,10,33,4,1,4.07,178,11,0,0,5,2,0,2,2,191,695,0.66,0.13,0.11,0.41,0.22,0.07,1.027,0.252,6.1,3.3,681517
448,Jordan Leasure,25,121,Maj-AL,Chicago,33,0,,2.0,2.0,31.1,32,22,22,18,26,6,1,6.32,120,7,1,0,1,2,0,0,1,142,560,0.62,0.14,0.12,0.37,0.22,0.11,1.596,0.289,7.5,1.44,673929
449,Jos\xc3\xa9 Leclerc,30,44,Maj-AL,Texas,64,0,6.0,5.0,1.0,66.2,56,33,32,32,89,7,4,4.32,247,9,0,1,3,2,11,3,1,288,1206,0.62,0.14,0.16,0.37,0.25,0.09,1.32,0.32,12.0,2.78,600917
450,Dylan Lee,29,43,Maj-NL,Atlanta,52,0,4.0,2.0,,59.2,49,19,14,17,76,7,0,2.11,221,11,1,4,3,1,1,3,0,240,860,0.71,0.14,0.2,0.36,0.27,0.04,1.106,0.302,11.5,4.47,669276
451,Casey Legumina,27,55,Maj-NL,Cincinnati,6,0,,,,9.1,15,11,9,2,7,2,1,8.68,44,2,1,0,1,0,0,0,0,47,166,0.69,0.16,0.05,0.62,0.19,0.0,1.821,0.371,6.8,3.5,668984
452,Brandon Leibrandt,31,54,Maj-NL,Cincinnati,2,0,,,,6.1,11,7,7,2,5,3,0,9.95,30,0,0,0,0,0,0,0,0,32,117,0.67,0.15,0.12,0.56,0.16,0.04,2.053,0.364,7.1,2.5,605335
453,Jack Leiter,24,47,Maj-AL,Texas,9,6,,3.0,,35.2,44,39,35,17,31,7,3,8.83,148,9,2,0,2,3,4,0,0,173,669,0.63,0.14,0.12,0.39,0.22,0.07,1.71,0.327,7.8,1.82,683004
454,Mark Leiter Jr.,33,44,"Maj-AL,Maj-NL","Chicago,New York",60,0,4.0,5.0,,58.0,55,34,29,22,86,8,3,4.5,231,9,1,1,2,0,6,0,1,256,1019,0.63,0.16,0.17,0.46,0.26,0.08,1.328,0.343,13.3,3.91,643410
455,Dominic Leone,32,90,Maj-AL,Chicago,23,0,,2.0,,19.0,20,17,14,14,17,4,0,6.63,73,6,0,1,4,2,8,0,1,89,361,0.58,0.12,0.16,0.5,0.22,0.05,1.79,0.296,8.1,1.21,608678
456,Matthew Liberatore,24,45,Maj-NL,St. Louis,60,6,3.0,4.0,,86.0,81,44,42,28,76,11,2,4.4,323,20,0,3,8,3,7,1,1,358,1358,0.67,0.15,0.12,0.44,0.22,0.07,1.267,0.293,8.0,2.71,669461
457,Zack Littell,28,48,Maj-AL,Tampa Bay,29,29,8.0,10.0,,156.1,164,68,63,31,141,22,5,3.63,618,29,2,0,13,0,6,3,1,656,2486,0.68,0.16,0.11,0.34,0.28,0.1,1.247,0.312,8.1,4.55,641793
458,Brendon Little,27,45,Maj-AL,Toronto,49,0,1.0,2.0,1.0,45.2,41,21,19,19,36,7,1,3.74,172,5,0,2,8,0,5,0,0,193,696,0.61,0.15,0.13,0.72,0.15,0.02,1.314,0.264,7.1,1.89,663893
459,Luke Little,23,125,Maj-NL,Chicago,29,1,3.0,1.0,,26.0,15,11,10,18,28,1,4,3.46,86,4,0,1,5,1,3,1,0,109,434,0.59,0.23,0.09,0.71,0.08,0.03,1.269,0.241,9.7,1.56,681432
460,Ben Lively,32,45,Maj-AL,Cleveland,29,29,13.0,10.0,,151.0,139,67,64,49,118,23,5,3.81,577,26,4,0,10,1,12,3,3,632,2406,0.65,0.19,0.08,0.43,0.21,0.08,1.245,0.265,7.0,2.41,594902
461,Jonathan Lo\xc3\xa1isiga,29,223,Maj-AL,New York,3,0,1.0,,,4.0,7,0,0,1,3,0,0,0.0,19,0,0,0,0,0,0,0,0,20,61,0.72,0.2,0.08,0.56,0.31,0.06,2.0,0.438,6.8,3.0,642528
462,Nick Lodolo,26,82,Maj-NL,Cincinnati,21,21,9.0,6.0,,115.1,101,62,61,37,122,13,18,4.76,437,26,0,0,4,1,11,4,2,493,1864,0.64,0.17,0.12,0.45,0.24,0.05,1.197,0.29,9.5,3.3,666157
463,Nick Loftin,25,165,Maj-AL,Kansas City,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,3,0,0,0,1,0,0,0,0,3,8,0.63,0.13,0.0,0.67,0.33,0.0,1.0,0.333,0.0,,679845
464,Zach Logue,28,54,Maj-NL,Los Angeles,2,0,,,,2.0,6,4,4,0,4,1,0,18.0,12,1,0,0,0,0,0,0,0,12,43,0.79,0.19,0.19,0.5,0.25,0.13,3.0,0.714,18.0,,656657
465,Sam Long,28,45,Maj-AL,Kansas City,43,0,3.0,3.0,1.0,42.2,34,17,15,17,44,5,1,3.16,156,6,0,1,1,1,0,0,0,176,702,0.64,0.16,0.12,0.45,0.18,0.05,1.195,0.269,9.3,2.59,669674
466,Jacob Lopez,26,79,Maj-AL,Tampa Bay,4,1,,,,10.1,5,7,6,7,8,2,2,5.23,37,1,0,0,0,0,4,0,0,46,178,0.56,0.17,0.09,0.17,0.24,0.21,1.161,0.111,7.0,1.14,682052
467,Jorge L\xc3\xb3pez,31,54,Maj-NL,"Chicago,New York",52,0,2.0,3.0,4.0,53.0,46,19,17,19,50,6,2,2.89,196,9,0,1,7,0,6,1,2,217,807,0.66,0.23,0.09,0.51,0.16,0.07,1.226,0.286,8.5,2.63,605347
469,Pablo L\xc3\xb3pez,28,46,Maj-AL,Minnesota,32,32,15.0,10.0,,185.1,180,90,84,41,198,26,8,4.08,715,33,0,0,11,4,11,1,2,772,2982,0.67,0.15,0.13,0.44,0.25,0.05,1.192,0.311,9.6,4.83,641154
470,Reynaldo L\xc3\xb3pez,30,43,Maj-NL,Atlanta,26,25,8.0,5.0,,135.2,108,32,30,42,148,10,2,1.99,492,22,2,0,14,6,20,1,0,543,2110,0.65,0.16,0.12,0.4,0.29,0.06,1.106,0.288,9.8,3.52,625643
471,Michael Lorenzen,32,45,Maj-AL,"Kansas City,Texas",26,24,7.0,6.0,,130.1,101,49,48,60,97,17,6,3.31,468,20,1,0,14,2,6,5,0,536,2093,0.61,0.17,0.09,0.42,0.22,0.1,1.235,0.236,6.7,1.62,547179
472,Ryan Loutos,25,104,Maj-NL,St. Louis,3,0,,,,2.1,2,0,0,1,0,0,0,0.0,9,1,0,0,0,0,1,0,0,10,35,0.54,0.14,0.06,0.44,0.0,0.0,1.286,0.222,0.0,0.0,702795
473,Richard Lovelady,28,44,"Maj-AL,Maj-NL","Chicago,Tampa Bay",35,0,3.0,6.0,2.0,34.1,34,18,17,11,26,3,2,4.46,132,6,0,1,3,1,4,0,0,147,528,0.65,0.16,0.11,0.52,0.21,0.07,1.311,0.298,6.8,2.36,663992
474,Rhett Lowder,22,45,Maj-NL,Cincinnati,6,6,2.0,2.0,,30.2,25,4,4,14,22,0,0,1.17,114,2,0,0,2,0,5,2,1,128,498,0.62,0.15,0.09,0.39,0.29,0.07,1.272,0.272,6.5,1.57,695076
475,Easton Lucas,27,46,Maj-AL,"Detroit,Oakland,Toronto",8,0,1.0,,,11.2,17,15,14,9,10,1,1,10.8,50,2,1,0,1,1,0,0,0,61,246,0.62,0.12,0.07,0.38,0.17,0.1,2.229,0.4,7.7,1.11,687922
476,Joey Lucchesi,31,43,Maj-NL,New York,2,2,,2.0,,10.1,8,6,6,8,7,1,0,5.23,37,3,0,0,0,0,0,0,0,46,179,0.57,0.13,0.06,0.48,0.16,0.06,1.548,0.241,6.1,0.88,664192
477,Seth Lugo,34,45,Maj-AL,Kansas City,33,33,16.0,9.0,,206.2,177,75,69,48,181,16,9,3.0,773,36,6,1,18,4,5,5,1,836,3112,0.65,0.19,0.1,0.45,0.25,0.05,1.089,0.278,7.9,3.77,607625
478,Jes\xc3\xbas Luzardo,26,149,Maj-NL,Miami,12,12,3.0,6.0,,66.2,61,37,37,22,58,9,2,5.0,248,12,1,0,6,1,5,4,1,274,1084,0.64,0.15,0.14,0.39,0.23,0.05,1.245,0.286,7.8,2.64,666200
479,Jordan Lyles,33,214,Maj-AL,Kansas City,5,0,,,,5.0,2,0,0,2,3,0,0,0.0,17,2,0,0,0,0,0,0,0,19,72,0.63,0.1,0.15,0.43,0.07,0.07,0.8,0.143,5.4,1.5,543475
480,Daniel Lynch IV,27,45,Maj-AL,Kansas City,16,3,2.0,,1.0,43.1,29,17,16,14,39,6,4,3.32,154,6,0,0,4,2,3,1,0,174,629,0.65,0.18,0.13,0.46,0.21,0.05,0.992,0.207,8.1,2.79,663738
