,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
89,SI,2024-06-10,92.9,-1.9,5.65,"Berríos, José",656555,621244,,ball,,,,,14,Rhys Hoskins called out on strikes.  Willy Adames steals (9) 2nd base.,R,R,R,MIL,TOR,B,,,1,0,2024,-1.46,0.73,0.95,1.43,,,642715.0,0,2,Bot,,,,,672386,,,10.47416940243705,-134.79871726441849,-6.591199449823672,-20.043745947177044,28.36219811530192,-22.033656442892163,3.72,1.65,,,,93.0,2030,6.4,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.08,,,,,,,,12,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,227,0.0,0.102,,
90,SI,2024-06-10,93.7,-1.83,5.62,"Berríos, José",656555,621244,,ball,,,,,14,Rhys Hoskins called out on strikes.  Willy Adames steals (9) 2nd base.,R,R,R,MIL,TOR,B,,,0,0,2024,-1.48,0.58,0.37,1.53,,,642715.0,0,2,Bot,,,,,672386,,,8.99748820159008,-136.0848785652956,-6.138783290990756,-20.374134196539604,28.921940304014363,-23.74466651131624,3.6,1.75,,,,94.1,2031,6.6,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.94,,,,,,,,12,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,227,0.0,0.062,,
91,SI,2024-06-10,93.1,-2.04,5.57,"Berríos, José",642715,621244,single,hit_into_play,,,,,11,Willy Adames singles on a ground ball to shortstop Bo Bichette.,R,R,R,MIL,TOR,X,6.0,ground_ball,0,2,2024,-1.46,0.65,-0.86,2.62,,,,0,2,Bot,124.12,136.27,,,672386,,,6.26280978407572,-135.39666759654233,-3.228689369190871,-19.303856825581725,29.32990186332383,-23.67941268315693,3.45,1.7,50.0,72.9,2.0,93.4,2076,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.04,0.12,0.118,0.9,1.0,1.0,0.0,2.0,11,3,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,231,0.038,0.486,71.88884,7.10583
92,CH,2024-06-10,85.4,-1.96,5.45,"Berríos, José",642715,621244,,foul,,,,,8,Willy Adames singles on a ground ball to shortstop Bo Bichette.,R,R,R,MIL,TOR,S,,,0,1,2024,-1.11,0.34,-0.12,1.64,,,,0,2,Bot,,,,,672386,,,6.595332088466651,-124.22695720327933,-3.402581492549337,-12.807648608988302,24.04812901948336,-28.209186427612504,3.45,1.7,3.0,67.7,-32.0,85.8,1560,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.98,,,,,,,,11,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,249,0.0,-0.048,74.09837,8.94368
93,SI,2024-06-10,93.0,-1.83,5.65,"Berríos, José",642715,621244,,called_strike,,,,,8,Willy Adames singles on a ground ball to shortstop Bo Bichette.,R,R,R,MIL,TOR,S,,,0,0,2024,-1.53,0.75,-0.25,2.25,,,,0,2,Bot,,,,,672386,,,7.430048308074658,-135.1517914903261,-4.613168567603847,-20.363695583705525,29.177482581450946,-22.1692030173728,3.58,1.71,,,,93.3,2041,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.96,,,,,,,,11,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,229,0.0,-0.032,,
94,SI,2024-06-10,92.7,-2.02,5.62,"Berríos, José",592885,621244,field_out,hit_into_play,,,,,4,Christian Yelich flies out to left fielder Davis Schneider.,R,L,R,MIL,TOR,X,7.0,fly_ball,2,0,2024,-1.34,0.7,-0.63,2.27,,,,2,1,Bot,33.62,101.61,,,672386,,,6.509207363385344,-134.84564890316847,-4.344480364164938,-17.78751677134018,27.52012595450737,-22.88806671308013,3.3,1.67,330.0,94.9,34.0,93.3,1916,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.0,0.089,0.147,0.0,1.0,0.0,0.0,3.0,7,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,228,-0.01,-0.142,75.11193,7.52192
95,CH,2024-06-10,84.9,-1.99,5.47,"Berríos, José",592885,621244,,ball,,,,,14,Christian Yelich flies out to left fielder Davis Schneider.,R,L,R,MIL,TOR,B,,,1,0,2024,-0.99,0.4,0.69,1.04,,,,2,1,Bot,,,,,672386,,,8.281361129485653,-123.36355012915068,-4.837534065340024,-11.778652279873135,24.918296292466277,-27.252719292801263,3.4,1.75,,,,85.2,1481,6.6,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.93,,,,,,,,7,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,253,0.0,0.026,,
96,SI,2024-06-10,91.8,-2.03,5.57,"Berríos, José",592885,621244,,ball,,,,,13,Christian Yelich flies out to left fielder Davis Schneider.,R,L,R,MIL,TOR,B,,,0,0,2024,-1.4,0.74,-0.23,1.44,,,,2,1,Bot,,,,,672386,,,7.607938301072891,-133.4254181908511,-6.251569845329565,-18.318226587085867,27.14986216176764,-22.16810055265535,3.49,1.81,,,,92.3,2046,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.97,,,,,,,,7,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,226,0.0,0.016,,
97,SI,2024-06-10,93.3,-2.09,5.62,"Berríos, José",661388,621244,field_out,hit_into_play,,,,,7,"William Contreras grounds out, third baseman Isiah Kiner-Falefa to first baseman Vladimir Guerrero Jr.",R,R,R,MIL,TOR,X,5.0,ground_ball,3,1,2024,-1.49,0.66,-0.41,2.05,,,,1,1,Bot,106.59,162.09,,,672386,,,7.669106204738857,-135.6587392273932,-4.951321523291645,-20.08771463719573,27.784302490813257,-23.147592666891303,3.51,1.67,5.0,97.4,-24.0,94.1,1950,6.6,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.86,0.114,0.101,0.0,1.0,0.0,0.0,2.0,6,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,223,-0.016,-0.27,80.94954,7.97112
98,SI,2024-06-10,93.7,-2.0,5.75,"Berríos, José",661388,621244,,foul,,,,,1,"William Contreras grounds out, third baseman Isiah Kiner-Falefa to first baseman Vladimir Guerrero Jr.",R,R,R,MIL,TOR,S,,,3,0,2024,-1.33,1.13,-0.5,3.43,,,,1,1,Bot,,,,,672386,,,6.8084202771543545,-136.3522980198557,-2.7482755752839103,-18.07003270072947,29.45635682579939,-17.664868678770763,3.51,1.67,228.0,77.4,49.0,93.8,2120,6.3,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.19,,,,,,,,6,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,221,0.0,-0.05,75.27321,6.82863
99,SV,2024-06-10,83.2,-1.9,5.75,"Berríos, José",661388,621244,,ball,,,,,12,"William Contreras grounds out, third baseman Isiah Kiner-Falefa to first baseman Vladimir Guerrero Jr.",R,R,R,MIL,TOR,B,,,2,0,2024,1.43,-0.47,0.91,2.84,,,,1,1,Bot,,,,,672386,,,3.609151656746288,-121.13404486399494,0.7240815715338238,13.33115037455059,24.71166715226893,-37.16694987787474,3.52,1.66,,,,82.9,2219,6.2,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.32,,,,,,,,6,3,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,43,0.0,0.088,,
100,SV,2024-06-10,82.7,-2.15,5.62,"Berríos, José",661388,621244,,ball,,,,,13,"William Contreras grounds out, third baseman Isiah Kiner-Falefa to first baseman Vladimir Guerrero Jr.",R,R,R,MIL,TOR,B,,,1,0,2024,1.53,-0.45,-0.14,1.25,,,,1,1,Bot,,,,,672386,,,1.5983958410896202,-120.37272220096004,-2.5577184263838784,14.490093574393068,24.68916827677144,-36.26360333568462,3.58,1.66,,,,82.5,2152,6.3,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.21,,,,,,,,6,2,Slurve,0,0,0,0,0,0,0,0,Standard,Standard,92,0.0,0.045,,
101,SI,2024-06-10,93.3,-1.81,5.68,"Berríos, José",661388,621244,,ball,,,,,14,"William Contreras grounds out, third baseman Isiah Kiner-Falefa to first baseman Vladimir Guerrero Jr.",R,R,R,MIL,TOR,B,,,0,0,2024,-1.29,1.04,1.05,2.45,,,,1,1,Bot,,,,,672386,,,10.236474100020123,-135.4933442527618,-4.82099560720552,-18.12093845021975,29.382276709134125,-18.48039721398084,3.55,1.67,,,,93.6,2067,6.5,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,53.97,,,,,,,,6,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217,0.0,0.025,,
102,FC,2024-06-10,92.3,-1.84,5.71,"Berríos, José",668930,621244,field_out,hit_into_play,,,,,6,Brice Turang lines out sharply to first baseman Vladimir Guerrero Jr.,R,L,R,MIL,TOR,X,3.0,line_drive,1,1,2024,-0.11,1.26,0.63,2.26,,,,0,1,Bot,167.24,147.8,,,672386,,,6.506676980406283,-134.28955343927,-5.723700089287292,-2.646682487382914,28.119818920198263,-15.894410927710036,3.23,1.47,165.0,102.1,9.0,92.5,2253,6.4,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.14,0.729,0.696,0.0,1.0,0.0,0.0,4.0,5,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,214,-0.021,-0.219,71.52727,6.31534
103,SI,2024-06-10,93.5,-2.07,5.65,"Berríos, José",668930,621244,,called_strike,,,,,4,Brice Turang lines out sharply to first baseman Vladimir Guerrero Jr.,R,L,R,MIL,TOR,S,,,1,0,2024,-1.25,1.05,-0.81,2.72,,,,0,1,Bot,,,,,672386,,,6.007014362112451,-136.04238038727328,-4.127704125947018,-16.856830986735886,29.23682451642095,-18.40672830914337,3.38,1.58,,,,93.7,2199,6.4,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.12,,,,,,,,5,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,224,0.0,-0.044,,
104,FF,2024-06-10,92.8,-2.21,5.7,"Berríos, José",668930,621244,,ball,,,,,11,Brice Turang lines out sharply to first baseman Vladimir Guerrero Jr.,R,L,R,MIL,TOR,B,,,0,0,2024,-0.98,1.13,-1.72,4.2,,,,0,1,Bot,,,,,672386,,,3.40349518489058,-135.15680363230672,-0.5522069989875836,-12.821334753166289,28.02110807242917,-18.406098441036903,3.36,1.57,,,,93.1,2258,6.3,745982,621244,672386,665489,687462,643396,666182,676914,662139,543807,54.19,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,222,0.0,0.033,,
