,pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
839,FF,94.6,-2.11,5.2,,,,,5.0,R,R,X,2,0,-0.95,1.04,-0.02,2.16,,,,0,3,7.708056296086878,-137.4947455196317,-4.605197564902331,-13.816798338467333,31.51725833287397,-18.19016534434616,3.2,1.49,2443.0,7.1,53.36,19,3,4-Seam Fastball,230.0
841,SI,92.9,-2.09,5.2,,,,,13.0,R,R,B,0,0,-1.52,0.71,-1.78,2.19,,,,0,3,4.195251514358633,-135.09834184073458,-3.468385018424932,-19.546407821782456,31.91352383964725,-22.9264353545885,3.23,1.49,2153.0,7.0,53.47,19,1,Sinker,231.0
842,FF,94.8,-2.11,5.18,,,,,8.0,L,R,X,2,0,-0.97,1.14,-0.23,2.27,,,596146.0,2,2,7.181766017702222,-137.7437974273737,-4.472548902470552,-14.01470713047801,33.413083485737005,-16.85964354180651,3.76,1.76,2422.0,7.1,53.38,14,3,4-Seam Fastball,230.0
843,FC,91.6,-2.15,5.09,,,,,13.0,L,R,B,1,0,-0.24,0.7,-1.51,2.07,,,596146.0,2,2,2.156764428383535,-133.46299011196504,-3.3549832861383733,-3.287279782896818,26.61608339746492,-23.3163712051186,3.63,1.68,2513.0,7.0,53.45,14,2,Cutter,219.0
844,FF,95.0,-2.22,5.23,,,,,11.0,L,R,B,0,0,-0.83,1.1,-0.61,4.03,,,596146.0,2,2,6.171337064358159,-138.2062318033403,0.0583891762138357,-11.98473541539874,30.51744553061249,-18.265722353915383,3.71,1.76,2484.0,7.0,53.46,14,1,4-Seam Fastball,227.0
845,FC,91.5,-2.22,5.15,,,,,6.0,L,R,X,0,1,-0.16,0.9,0.53,2.72,,,596146.0,1,2,7.3732739978975985,-133.05535345883362,-2.2328492552789148,-3.432995416574652,28.22397495732181,-21.18576420000565,3.35,1.51,2518.0,7.0,53.47,13,2,Cutter,221.0
846,ST,82.8,-2.32,5.23,,,,,1.0,L,R,S,0,0,0.87,0.26,-0.76,3.15,,,596146.0,1,2,1.8831858926171845,-120.61475944140226,1.2592901876099178,8.064700081823059,24.05336651263509,-30.1406692587428,3.38,1.55,2564.0,6.7,53.75,13,1,Sweeper,58.0
847,SI,95.3,-2.04,5.24,,,,,2.0,L,R,S,1,2,-1.57,0.67,-0.17,3.44,,,596146.0,0,2,8.581045500135627,-138.50034944762018,-0.5909838949708068,-22.06057794670936,30.669698372272816,-23.59560886986549,3.42,1.67,2263.0,7.1,53.36,12,4,Sinker,229.0
848,FC,92.9,-2.12,5.22,,,,,1.0,L,R,S,1,1,-0.03,0.95,-0.4,3.18,,,596146.0,0,2,4.547678058468401,-135.32476259276174,-1.632588556073039,-1.2974933037650722,25.78761824134437,-20.2278415818911,3.37,1.67,2555.0,7.0,53.53,12,3,Cutter,215.0
849,FF,95.0,-1.97,5.31,,,,,12.0,L,R,S,1,0,-0.87,1.05,0.92,3.02,,,596146.0,0,2,9.631330436380084,-138.0295721418143,-2.741200450176996,-13.19160285826393,28.598799003775444,-18.27520999496319,3.37,1.67,2489.0,7.1,53.44,12,2,4-Seam Fastball,230.0
850,CU,79.5,-2.21,5.43,,,,,11.0,L,R,B,0,0,0.72,-0.62,-1.85,3.01,,,596146.0,0,2,-0.5593775814756203,-115.80560563741946,2.615573234077946,6.605995617854103,20.50970470083118,-38.4376346918249,3.38,1.67,2662.0,6.7,53.76,12,1,Curveball,62.0
