pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
SL,86.1,-1.89,6.14,,,,,5.0,R,R,S,3,2,0.55,-0.26,0.64,2.61,,502481.0,,2,4,4.87261097080472,-125.42720256122432,-1.6672094599880016,4.935876867799871,23.953029966428005,-34.80833809425238,3.55,1.63,2912.0,6.2,54.25,29,7,Slider,49.0
SL,86.3,-1.85,6.15,,,,,7.0,R,R,S,3,2,0.56,-0.33,-0.01,1.71,,502481.0,,2,4,3.2481389154622087,-125.71395932460412,-3.659821938033196,5.220746068281463,26.39765113739919,-35.13342759992051,3.55,1.63,2803.0,6.2,54.26,29,6,Slider,52.0
FF,98.5,-1.73,6.33,,,,,10.0,R,R,B,2,2,-0.32,1.51,1.72,4.18,,502481.0,,2,4,10.054281851743292,-143.06228975786806,-3.868948199718818,-6.745457865952232,33.24058504417333,-10.712924869722045,3.26,1.49,2325.0,6.1,54.39,29,5,4-Seam Fastball,204.0
KC,82.6,-1.68,6.2,,,,,12.0,R,R,B,1,2,0.44,-1.32,0.81,0.37,,502481.0,,2,4,4.784420396701984,-120.1123771049842,-4.0999781605565975,3.2109973539421826,25.40040176985652,-44.2477078679602,3.29,1.58,2913.0,6.1,54.37,29,4,Knuckle Curve,21.0
SL,87.1,-1.96,6.05,,,,,12.0,R,R,S,1,1,0.66,-0.07,1.82,1.53,,502481.0,,2,4,7.679453206434943,-126.7476042738476,-4.61345740972861,5.931842296085312,21.74976003368596,-32.32639911817621,3.55,1.63,2998.0,6.1,54.36,29,3,Slider,41.0
SL,86.7,-2.01,6.02,,,,,2.0,R,R,S,1,0,0.63,0.14,0.43,2.85,,502481.0,,2,4,4.537039823967175,-126.36411785079484,-1.80184176036224,6.043544737944544,20.920253026853725,-30.562410055071293,3.28,1.52,2859.0,6.0,54.45,29,2,Slider,71.0
KC,79.6,-1.59,6.24,,,,,12.0,R,R,B,0,0,0.34,-1.49,0.72,0.1,,502481.0,,2,4,4.459565879435751,-115.75717921131184,-3.801788322539356,2.0424755043905374,25.04004845460779,-44.81986991837462,3.34,1.58,2852.0,6.5,54.02,29,1,Knuckle Curve,12.0
FF,98.6,-1.95,6.29,,,,,9.0,L,R,S,1,2,-0.28,1.61,-0.13,4.19,,,643217.0,1,4,5.573603331526056,-143.51227646697865,-3.966834326005936,-5.237448639873836,35.262002167620885,-9.304863114871557,3.49,1.6,2663.0,6.1,54.44,28,5,4-Seam Fastball,199.0
FF,98.5,-1.85,6.36,,,,,5.0,L,R,S,1,2,-0.46,1.55,0.71,2.86,,,643217.0,1,4,7.966254006297161,-143.14941505778256,-7.604365708399442,-8.105567968327641,31.616553514297376,-9.30760507319735,3.49,1.6,2598.0,6.1,54.37,28,4,4-Seam Fastball,198.0
KC,81.1,-1.84,6.15,,,,,12.0,L,R,B,0,2,0.58,-1.67,1.09,0.55,,,643217.0,1,4,5.3887311258915,-117.78449922784324,-2.476093131963339,4.020575415335803,28.51386907285061,-47.0358597455719,3.58,1.71,2964.0,6.1,54.42,28,3,Knuckle Curve,17.0
KC,79.7,-1.86,6.25,,,,,3.0,L,R,S,0,1,0.46,-1.73,-0.42,2.71,,,643217.0,1,4,2.294346689129783,-115.80825297296896,2.367519440160014,3.541992774952948,26.13577887438377,-48.27179361459708,3.49,1.6,2863.0,6.1,54.37,28,2,Knuckle Curve,18.0
FF,96.9,-1.65,6.43,,,,,0.0,L,R,S,0,0,-0.08,1.61,-0.5,3.47,,,643217.0,1,4,3.2441808929030405,-141.09152339638226,-6.001474514387396,-1.7952949696859957,32.34067219370276,-9.54230561406922,3.49,1.6,2531.0,6.1,54.44,28,1,4-Seam Fastball,197.0
SL,86.6,-1.98,6.01,,,,,12.0,R,R,S,0,2,0.39,-0.19,1.18,0.84,,,643217.0,0,4,6.707073515707812,-125.87814740578956,-5.686428590101158,2.710209988795162,26.2975096841064,-33.2407784533029,3.55,1.63,2982.0,6.1,54.44,27,3,Slider,53.0
ST,85.8,-2.07,6.11,,,,,1.0,R,R,S,0,1,0.61,-0.34,0.12,3.41,,,643217.0,0,4,3.929033144681121,-125.03930256182451,0.5110735912390232,5.701763863447852,23.8575892406736,-36.09418026774424,3.55,1.63,2962.0,6.0,54.5,27,2,Sweeper,63.0
SL,85.6,-2.0,6.17,,,,,12.0,R,R,S,0,0,0.54,-0.11,1.06,2.33,,,643217.0,0,4,6.097231491011802,-124.67805597017038,-2.6156855479108865,4.566984986070875,23.38186776365852,-33.02292364644292,3.55,1.63,2900.0,6.1,54.39,27,1,Slider,69.0
FF,98.2,-1.23,6.38,,,,,12.0,L,R,B,3,2,-0.62,1.35,0.38,0.93,,,,0,4,5.763401973862517,-142.44135458083932,-12.34111409069962,-9.735403887807427,32.24109499384342,-11.08872033718528,3.39,1.6,2613.0,6.2,54.28,26,7,4-Seam Fastball,198.0
FF,98.0,-1.5,6.39,,,,,9.0,L,R,B,2,2,-0.58,1.41,-0.57,3.74,,,,0,4,3.8377352131350833,-142.6469783436006,-4.967085654736806,-8.832639774149131,30.530042774166315,-11.97231956131606,3.38,1.59,2632.0,6.1,54.41,26,6,4-Seam Fastball,200.0
FF,97.4,-1.56,6.39,,,,,10.0,L,R,S,2,2,-0.35,1.6,0.92,3.42,,,,0,4,7.403020468801915,-141.54528198536596,-6.072871717801478,-6.419090891467694,33.26877490802575,-9.430383031101613,3.29,1.49,2523.0,6.0,54.54,26,5,4-Seam Fastball,200.0
ST,85.5,-1.84,6.1,,,,,12.0,L,R,B,1,2,0.78,-0.11,0.96,1.27,,,,0,4,5.00748041268235,-124.40251497055124,-4.875412360195011,7.1635598515887455,24.62673226347949,-32.586564777795644,3.35,1.57,2938.0,6.1,54.43,26,4,Sweeper,49.0
ST,83.5,-1.73,6.31,,,,,5.0,L,R,S,1,1,0.74,-0.5,0.5,2.68,,,,0,4,3.648072937527753,-121.55171099425228,-0.9698800016835194,6.628455436913419,23.50149184749593,-37.11117630728204,3.29,1.49,2868.0,5.9,54.58,26,3,Sweeper,45.0
KC,79.3,-1.55,6.4,,,,,12.0,L,R,B,0,1,0.55,-1.61,0.03,0.96,,,,0,4,2.397080442650912,-115.4055975410364,-1.9768667340707704,4.3571103185970905,25.4188198436358,-46.192354033424,3.35,1.54,2748.0,6.2,54.35,26,2,Knuckle Curve,14.0
ST,83.0,-1.58,6.37,,,,,1.0,L,R,S,0,0,0.8,-0.26,0.05,3.4,,,,0,4,2.1622151509165466,-120.92960617242233,0.1383511327757189,7.426572980108742,22.899330700744024,-34.98702901697137,3.37,1.57,2894.0,5.8,54.69,26,1,Sweeper,57.0
