,pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
0,CU,73.8,-3.0,5.68,,,,,4.0,R,R,S,0,0,1.06,-0.87,-0.31,2.23,,,,1,6,3.631956664995272,-107.384570326816,1.810479106294492,7.536222635732591,19.7230267558542,-39.42132232241103,3.47,1.64,2685.0,6.4,54.12,44,1,Curveball,55.0
3,FF,94.5,-3.1,5.6,,,,,11.0,R,R,B,0,2,-0.62,1.35,-1.15,2.76,,,,0,6,6.44081964548005,-137.45463808666915,-4.70516342709456,-9.331810027110098,31.367423183664563,-14.192897314068407,3.53,1.61,2355.0,6.2,54.31,43,5,4-Seam Fastball,219.0
4,FC,89.1,-3.19,5.36,,,,,3.0,R,R,S,0,2,0.28,0.6,0.46,3.6,,,,0,6,8.354251339540616,-129.55014281391007,0.4298052946630133,1.546981936973045,25.88808357081659,-25.69786865552684,3.68,1.68,2452.0,6.2,54.25,43,4,Cutter,202.0
5,SL,86.2,-3.25,5.3,,,,,8.0,R,R,S,0,2,0.29,0.33,0.09,1.94,,,,0,6,7.3488639074528175,-125.41812962539012,-2.443977299577825,1.5833769413862793,24.739972609265727,-28.37931008340666,3.68,1.68,2326.0,6.3,54.2,43,3,Slider,174.0
7,FF,93.5,-2.97,5.64,,,,,9.0,R,R,S,0,0,-0.99,1.2,0.34,2.12,,,,0,6,10.681465264191514,-135.64603504523808,-5.929077091204863,-14.61001596299952,30.22215147298311,-16.20748835453763,3.68,1.79,2256.0,6.3,54.15,43,1,4-Seam Fastball,222.0
8,FF,94.3,-3.06,5.56,,,,,5.0,L,R,X,0,0,-0.79,1.27,0.25,2.51,,,,2,5,10.342460401028411,-136.93421123265475,-5.046674870327256,-12.281034681339394,30.68702272110549,-15.171414468137831,3.11,1.49,2311.0,6.3,54.19,37,1,4-Seam Fastball,220.0
9,CU,76.2,-2.95,5.66,,,,,5.0,L,R,X,2,2,1.26,-0.8,-0.2,2.6,,,,1,5,3.5262596858979744,-110.84496523785054,2.0975289859770325,9.682536032984649,20.7567812752535,-39.39434813661785,3.44,1.67,2840.0,6.4,54.12,36,5,Curveball,58.0
10,FF,94.7,-3.14,5.46,,,,,7.0,L,R,S,2,1,-0.83,1.31,-0.78,1.66,,,,1,5,7.974418029276263,-137.4662618405957,-7.083720200056098,-12.298431998258806,32.31782108842848,-14.079919553883288,3.44,1.61,2402.0,6.2,54.3,36,4,4-Seam Fastball,227.0
11,CU,75.9,-3.14,5.56,,,,,13.0,L,R,S,2,0,1.27,-0.69,-0.45,1.07,,,,1,5,3.345015004810304,-110.494605642276,-0.9807967242325928,9.600017956019729,22.3842471033504,-37.811059346705896,3.44,1.67,2714.0,6.3,54.19,36,3,Curveball,62.0
13,CH,85.1,-3.16,5.43,,,,,11.0,L,R,B,0,0,-1.14,0.23,-1.46,2.77,,,,1,5,6.266440383696601,-123.87308534573074,-0.3902659775199603,-12.943822874152172,24.34190936683195,-29.89786742373063,3.44,1.64,1258.0,6.4,54.15,36,1,Changeup,250.0
14,CH,84.4,-3.05,5.4,,,,,8.0,L,R,X,0,2,-1.17,0.27,0.0,1.61,,,,0,5,9.410598810753006,-122.55999191094094,-2.9704874151423635,-13.633517367548984,24.513499863821984,-29.04493149522001,3.27,1.46,1403.0,6.4,54.13,35,3,Changeup,252.0
15,CU,75.9,-2.99,5.76,,,,,8.0,L,R,S,0,1,1.08,-0.76,0.04,1.69,,,,0,5,4.402276756348842,-110.47213402213023,-0.06222482112082,8.012772640812793,20.36552458226052,-38.56499127990547,3.27,1.46,2749.0,6.3,54.18,35,2,Curveball,60.0
16,FF,93.8,-3.13,5.61,,,,,12.0,L,R,S,0,0,-0.57,1.48,0.64,3.39,,,,0,5,10.981255960349284,-136.21253639803376,-3.271632725059643,-9.47760940019453,29.486083104766493,-13.126022586996765,3.27,1.46,2369.0,6.2,54.26,35,1,4-Seam Fastball,220.0
17,FF,95.6,-3.07,5.49,,,,,2.0,L,R,X,3,2,-0.75,1.29,0.06,2.83,,676914.0,,2,4,9.894756680297258,-138.73313503699032,-4.21270785081214,-12.079458259030378,33.5265054158664,-14.80864972209396,3.36,1.52,2342.0,6.3,54.23,31,8,4-Seam Fastball,217.0
18,CU,76.3,-3.09,5.58,,,,,13.0,L,R,B,2,2,1.28,-0.79,-1.3,1.92,,676914.0,,2,4,1.4795392093630415,-111.09613383272335,0.8558102443257505,10.163738169875796,22.420148972176506,-39.06411137053853,3.36,1.57,2525.0,6.6,53.93,31,7,Curveball,51.0
19,FF,94.8,-3.28,5.29,,,,,11.0,L,R,B,1,2,-0.71,1.22,-0.87,4.05,,676914.0,,2,4,7.856996248911827,-137.8557118808077,-0.2404036573431964,-10.827540560846344,32.65805720065909,-16.9221129522651,3.36,1.59,2299.0,6.2,54.28,31,6,4-Seam Fastball,224.0
20,FF,95.5,-3.11,5.62,,,,,5.0,L,R,S,1,2,-0.74,1.29,0.27,2.77,,676914.0,,2,4,10.529139960980464,-138.66226985529346,-4.740689668748632,-11.883450202924934,31.66997957313073,-14.68715844855849,3.36,1.52,2322.0,6.3,54.23,31,5,4-Seam Fastball,222.0
21,FC,87.9,-3.2,5.43,,,,,6.0,L,R,S,1,2,0.64,0.4,0.75,2.42,,676914.0,,2,4,8.222908455781328,-127.69692239160544,-1.9373973187910287,5.081042541085323,28.4325179571582,-27.59258894152768,3.36,1.52,2298.0,6.2,54.29,31,4,Cutter,175.0
22,FF,93.9,-3.05,5.6,,,,,12.0,L,R,S,1,1,-0.78,1.28,0.13,3.75,,676914.0,,2,4,9.907052423631864,-136.46693578628023,-1.9066246721559663,-11.88586969909813,29.755514405725457,-15.917287078935432,3.36,1.52,2288.0,6.1,54.35,31,3,4-Seam Fastball,220.0
23,FC,88.8,-3.34,5.21,,,,,4.0,L,R,S,1,0,0.2,0.43,-0.51,2.53,,676914.0,,2,4,6.489377674277234,-129.2986656349357,-1.499402720079122,1.0830467647789024,23.81671226837335,-27.168113346370507,3.36,1.55,2416.0,6.2,54.32,31,2,Cutter,187.0
24,FF,94.9,-2.96,5.61,,,,,3.0,L,R,B,0,0,-0.77,1.25,0.78,3.46,,676914.0,,2,4,11.483723853317956,-137.6967232028161,-2.7128722859170264,-12.373794124995158,30.42141615749397,-15.857579284805386,3.36,1.59,2274.0,6.4,54.14,31,1,4-Seam Fastball,220.0
25,SL,85.3,-3.15,5.45,,,,,5.0,R,R,X,0,0,0.44,0.27,-0.08,1.92,,,,2,4,6.315645617416833,-123.9831077271413,-2.452383697421076,3.0907431918838806,27.392603116679133,-29.12740861881757,2.9,1.41,2176.0,6.1,54.43,30,1,Slider,183.0
27,CH,85.8,-3.05,5.38,,,,,13.0,L,R,B,0,2,-1.19,0.39,-0.07,0.77,,,,1,4,9.466995659001071,-124.49024108462518,-5.406641955110767,-14.2756844731131,25.128605564395624,-27.17236092719506,3.56,1.7,1496.0,6.5,54.0,29,3,Changeup,241.0
28,CH,86.0,-3.26,5.36,,,,,7.0,L,R,S,0,1,-1.12,0.16,-0.36,2.0,,,,1,4,9.125724010234997,-124.90872022805095,-2.0463869789768525,-13.512800545699449,24.3536977717163,-30.25743200433878,3.51,1.68,1282.0,6.3,54.17,29,2,Changeup,256.0
29,CU,75.3,-3.16,5.65,,,,,5.0,L,R,S,0,0,1.13,-0.63,-0.18,2.53,,,,1,4,4.175284406145125,-109.6130417881626,1.826106676394254,8.316172861314675,20.679892420728304,-37.78238812206376,3.51,1.73,2586.0,6.3,54.22,29,1,Curveball,55.0
30,FF,96.1,-2.96,5.65,,,,,9.0,R,R,X,2,2,-0.96,1.26,0.39,1.65,,,,0,4,10.983489514895735,-139.25605579537427,-7.752979161391117,-15.10350161283144,33.04200569850444,-14.07210008672958,3.67,1.68,2380.0,6.2,54.3,28,6,4-Seam Fastball,221.0
31,CH,86.4,-3.14,5.38,,,,,13.0,R,R,B,1,2,-1.27,0.48,-1.05,1.03,,,,0,4,7.580219664271196,-125.51820867175988,-5.130498875788069,-14.906391129614672,24.53001383465676,-26.2675455304338,3.67,1.66,1471.0,6.5,53.97,28,5,Changeup,248.0
34,SL,85.5,-3.18,5.45,,,,,9.0,R,R,S,1,0,0.4,0.2,0.64,1.63,,,,0,4,8.189602843561678,-124.3162381008666,-3.0998936738932854,2.54743739866206,24.99041625757436,-29.71100991951272,3.67,1.68,2360.0,6.3,54.16,28,2,Slider,137.0
