,"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
75,"Crochet, Garrett",676979,53.7,2.1,28.4,0.0,5.9,,,,9.8,
76,"Pivetta, Nick",601713,48.6,,5.9,3.4,,16.3,,,25.7,
77,"Suárez, Ranger",624133,19.5,31.5,12.1,0.1,16.3,20.5,,,,
78,"Abbott, Andrew",671096,53.5,,,0.2,16.3,11.6,,,18.3,
79,"Woods Richardson, Simeon",680573,40.3,,,31.2,19.3,9.3,,,,
80,"Bradley, Taj",671737,41.7,,22.5,,,8.9,26.9,,,
81,"Rogers, Trevor",669432,31.7,24.0,,20.6,23.8,,,,,
82,"Suárez, Albert",544150,50.0,,19.5,,17.2,13.3,,,,
83,"Pérez, Martín",527048,5.3,35.8,22.1,0.0,22.7,14.1,,,,
84,"Kremer, Dean",665152,32.1,15.0,23.0,,,11.4,18.5,,,
85,"Marsh, Alec",679525,37.0,13.8,,17.9,10.0,16.4,,,4.9,
86,"Myers, Tobias",668964,40.1,0.5,23.0,21.0,11.4,4.1,,,,
87,"Stone, Gavin",694813,24.7,22.6,5.3,14.8,26.6,4.2,,,1.7,
88,"Pepiot, Ryan",686752,50.6,,6.0,17.3,23.5,2.7,,,,
89,"Ortiz, Luis L.",682847,26.8,25.8,19.7,26.8,0.9,,,,,
90,"Falter, Bailey",663559,48.5,14.2,,21.6,,15.2,0.6,,,
91,"Hendricks, Kyle",543294,12.7,35.5,,,38.7,13.1,,,,
92,"Skenes, Paul",694973,39.2,28.4,,6.1,5.4,10.8,,,10.1,
93,"Martinez, Nick",607259,22.4,17.6,20.3,6.1,21.6,11.9,,,,
94,"López, Reynaldo",625643,55.2,,,29.4,3.8,11.6,,,,
95,"Ryan, Joe",657746,48.5,6.0,,7.1,,,22.2,,16.2,
96,"Lorenzen, Michael",547179,27.2,21.2,10.0,8.8,18.8,7.9,,,6.1,
97,"Harrison, Kyle",690986,57.7,,,0.3,19.7,0.0,,,,22.3
98,"Steele, Justin",657006,59.5,5.3,,29.7,3.3,2.2,,,,
99,"Lynn, Lance",458681,47.2,16.7,22.3,,6.3,6.2,,,1.3,
100,"Cannon, Jonathan",686563,12.3,28.0,19.2,,18.7,,,,21.8,
101,"Estes, Joey",683155,51.7,3.4,0.7,13.6,11.1,,,,19.5,
102,"Glasnow, Tyler",607192,45.0,8.7,,27.7,,18.6,,,,
103,"Maeda, Kenta",628317,22.5,7.2,1.6,23.0,,1.6,31.2,,13.0,
104,"Hicks, Jordan",663855,5.4,51.5,,,,,19.1,,24.1,
105,"Pallante, Andre",669467,51.1,19.0,,17.2,,12.6,,,,
106,"Montgomery, Jordan",656756,17.3,30.8,,1.8,19.3,30.7,,,,
107,"Jones, Jared",683003,49.3,,,34.8,6.6,9.3,,,,
108,"Schwellenbach, Spencer",680885,29.1,6.8,16.8,19.9,,14.6,12.8,,,
109,"Rodriguez, Grayson",680570,46.5,1.2,,15.8,21.0,15.5,,,,
110,"Peterson, David",656849,26.5,31.0,,18.4,16.4,7.6,,,,
111,"Lodolo, Nick",666157,43.0,13.3,,,16.4,27.3,,,,
112,"Olson, Reese",681857,23.6,20.3,,27.8,22.3,6.0,,,,
113,"Mize, Casey",663554,38.6,8.0,,27.7,,7.5,18.1,,,
114,"Snell, Blake",605483,46.4,,,10.0,17.5,26.1,,,,
115,"Freeland, Kyle",607536,20.2,24.5,,22.7,13.7,18.8,,,,
116,"Irvin, Cole",608344,26.4,20.0,10.9,4.1,13.4,25.2,,,,
117,"Ureña, José",570632,6.3,40.9,,34.2,18.6,,,,,
118,"Criswell, Cooper",681867,,29.7,15.4,1.9,26.1,,,,26.8,
119,"Soriano, José",667755,14.6,46.4,,5.5,,25.4,8.1,,,
120,"Cabrera, Edward",665795,27.4,9.2,,8.5,33.2,21.7,,,,
121,"Woo, Bryan",693433,49.0,23.0,,9.6,9.4,,,,9.1,
122,"Paxton, James",572020,55.1,5.0,3.1,,6.6,30.3,,,,
123,"Carrasco, Carlos",471911,25.8,16.5,,24.3,23.3,6.9,,,3.2,
124,"Dunning, Dane",641540,2.8,37.7,18.8,23.4,12.5,4.7,,,,
125,"Vásquez, Randy",681190,28.5,15.7,13.7,,12.4,19.7,,,10.0,
